datetime,sitecode,lat,lon,co,no2,o3,pm10,pm25,so2
10/07/2018 15:00,BG1,51.56374871,0.177887402,333.16,2.53,33.3,13.28,6.06,1
10/07/2018 15:00,BG2,51.52938704,0.132864014,352.36,10.45,33.05,26.95,10.13,1.22
10/07/2018 15:00,BG3,51.54044429,0.074413084,347.73,15.35,32.84,33.56,17.37,1.66
10/07/2018 15:00,BL0,51.52228653,-0.125845305,384.61,6.81,33.17,34.59,15.68,3.13
10/07/2018 15:00,BN1,51.61467415,-0.176611999,295.43,5.24,33.19,43.22,19.46,1.08
10/07/2018 15:00,BN2,51.59189972,-0.205993561,279.83,17.03,35.64,39.34,13.47,0.81
10/07/2018 15:00,BT1,51.58961472,-0.275520864,252.18,5.67,39.88,9.9,6.34,0.57
10/07/2018 15:00,BT4,51.55247988,-0.258087506,227.82,8.43,42.32,31.94,16.58,0.33
10/07/2018 15:00,BT5,51.55265602,-0.248777108,228.82,9.15,42.13,22.7,14.69,0.33
10/07/2018 15:00,BT6,51.53779493,-0.247790261,209.79,8.89,44.46,30.71,19.39,0.19
10/07/2018 15:00,BT7,51.53471813,-0.196664446,250.81,11.6,41.53,24.38,16.28,0.32
10/07/2018 15:00,BX1,51.46599225,0.184847954,327.23,7.16,33.45,23.99,12.98,0.66
10/07/2018 15:00,BX2,51.49064622,0.158886588,333.05,8.54,33.26,19,15.87,0.85
10/07/2018 15:00,BX4,51.47768907,0.190793089,329,2.03,33.5,13.78,7.01,0.62
10/07/2018 15:00,BX7,51.45715482,0.195294098,326.25,7.15,33.53,24.01,12.94,0.62
10/07/2018 15:00,BX8,51.45688949,0.194576014,325.65,7.15,33.53,24.05,12.9,0.62
10/07/2018 15:00,BY7,51.40554166,0.018883091,320.02,12.04,33.55,26.73,17.07,1.42
10/07/2018 15:00,CD1,51.54421635,-0.1752909,311.83,12.54,36.84,31.29,18.24,0.66
10/07/2018 15:00,CD3,51.51553409,-0.127030488,380.94,7.11,33.22,44.84,14.47,2.94
10/07/2018 15:00,CD4,51.51884417,-0.120336399,379.47,7.27,33.19,44.84,17.26,3.04
10/07/2018 15:00,CD5,51.51884417,-0.120336399,379.47,7.27,33.19,44.84,17.26,3.04
10/07/2018 15:00,CR2,51.3626398,-0.117947539,298.9,5.4,36.75,36.58,20.57,1.25
10/07/2018 15:00,CR3,51.40401208,-0.098809338,309.55,4.83,35.67,13.67,9.37,1.39
10/07/2018 15:00,CR4,51.37430767,-0.096505578,303.7,16.29,36.07,23.21,16.48,1.31
10/07/2018 15:00,CR5,51.41134615,-0.123109295,305.09,5.33,36.41,29.7,24.43,1.32
10/07/2018 15:00,CR6,51.37873412,-0.113867458,301.59,6.54,36.46,32.8,21,1.28
10/07/2018 15:00,CT1,51.51148829,-0.095808108,371.85,6.09,33.2,44.89,16.14,2.81
10/07/2018 15:00,CT3,51.51384679,-0.077766409,368.62,6.63,33.12,34.25,16.47,2.72
10/07/2018 15:00,CT6,51.51050308,-0.091626691,367.68,6.81,33.28,44.86,23.19,2.68
10/07/2018 15:00,CY1,51.42480861,-0.075449321,318.27,7.53,34.88,44.34,20.39,1.52
10/07/2018 15:00,EA1,51.51334919,-0.307499849,210.23,6.88,45.38,31.89,16.61,0.21
10/07/2018 15:00,EA2,51.50662983,-0.267934868,208.59,8.62,45.06,34.69,17.07,0.2
10/07/2018 15:00,EA6,51.53084655,-0.292491381,213.66,16.52,44.59,26.98,19.28,0.21
10/07/2018 15:00,EA7,51.50855161,-0.392178997,224.42,3.68,47.07,7.53,3.77,0.32
10/07/2018 15:00,EL1,51.37234733,-0.400920016,263.7,5.5,45.24,26.68,16.45,0.8
10/07/2018 15:00,EL2,51.37072208,-0.363321235,266.2,7.35,44.3,23.77,15.68,0.82
10/07/2018 15:00,EN1,51.64542136,-0.066598039,316.03,2.04,31.51,13.93,6.33,1.48
10/07/2018 15:00,EN3,51.63747954,-0.044246864,319.3,1.85,31.5,14.13,6.37,1.52
10/07/2018 15:00,EN4,51.614691,-0.051177733,325.2,2.28,31.41,29.13,15.32,1.62
10/07/2018 15:00,EN5,51.61386653,-0.125339681,315.11,5.03,30.88,33.54,18.1,1.42
10/07/2018 15:00,GB6,51.45629796,0.085609078,330.04,1.64,32.9,14.37,5.26,1.32
10/07/2018 15:00,GN0,51.49053268,0.07400478,339.13,13.19,33,28.26,15.25,1.53
10/07/2018 15:00,GN2,51.49256724,0.017698156,344.31,4.48,33.09,17.82,7.75,1.92
10/07/2018 15:00,GN3,51.48695589,0.095117424,336.29,15.6,33,33.19,17.4,1.34
10/07/2018 15:00,GR4,51.45257716,0.070772679,330.79,1.61,32.89,14.51,5.2,1.42
10/07/2018 15:00,GR5,51.48347504,-0.000116359,342.67,17.46,33.22,33.62,17.01,1.94
10/07/2018 15:00,GR7,51.47250555,-0.012374889,339.91,10.12,33.34,29.93,22.31,1.9
10/07/2018 15:00,GR8,51.48688047,0.017893612,342.76,19.81,33.1,27.14,21.31,1.89
10/07/2018 15:00,GR9,51.45635943,0.040729857,331.86,16.19,32.94,33.72,16.26,1.57
10/07/2018 15:00,HF1,51.49301506,-0.224024491,226.25,8.76,43.53,33.4,18.72,0.31
10/07/2018 15:00,HF2,51.49659348,-0.220427816,226.25,8.76,43.53,33.4,18.72,0.31
10/07/2018 15:00,HG1,51.5992987,-0.0682111,330.63,2.15,31.18,39.15,17.7,1.71
10/07/2018 15:00,HG2,51.58602637,-0.126485859,326.35,3.82,30.42,26.3,16.2,1.52
10/07/2018 15:00,HI0,51.49629907,-0.460837921,237.88,4.21,44.83,17.61,12.14,0.46
10/07/2018 15:00,HI1,51.55226371,-0.402783308,238.5,4.56,45.4,27.46,15.82,0.43
10/07/2018 15:00,HI2,51.52611264,-0.459126523,234.61,3.43,45.79,7.47,3.53,0.36
10/07/2018 15:00,HI3,51.48113131,-0.423760925,239.57,3.24,48.71,20.88,12.56,0.48
10/07/2018 15:00,HK4,51.55888005,-0.056392204,351.58,12.21,32.23,35.17,21.02,2.17
10/07/2018 15:00,HK6,51.52645423,-0.084904948,377.62,7.01,32.9,45.88,16.23,2.84
