SiteCode,SiteName,SiteType,easting,northing
BG1,Barking & Dagenham 1 - Rush Green,Suburban,551055,187233
BG2,Barking & Dagenham 2 - Scrattons Farm,Suburban,548046,183320
BG3,Barking and Dagenham - North Street,Kerbside,543957,184433
BL0,Bloomsbury - AURN,Urban background,530122,182039
BN1,Barnet 1 - Tally Ho Corner,Kerbside,526344,192224
BN2,Barnet 2 - Finchley,Urban background,524372,189641
BT1,Brent 1 - Kingsbury AURN,Suburban,519562,189271
BT4,Brent 4 -  Ikea,Roadside,520868,185170
BT5,Brent 5 - Neasden Lane,Industrial,521513,185205
BT6,Brent - John Keble Primary School,Roadside,521621,183554
BT7,Brent - St Marys Primary School,Urban background,525175,183298
BX1,Bexley 1 - Slade Green AURN,Suburban,551862,176377
BX2,Bexley 2 - Belvedere,Suburban,549978,179065
BX4,Bexley 4 - Erith,Industrial,552236,177690
BX7,Bexley 7 - Thames Rd North,Roadside,552617,175416
BX8,Bexley 8 - Thames Rd South,Roadside,552568,175385
BY7,Bromley 7 - Central,Roadside,540520,169324
CD1,Camden 1 - Swiss Cottage,Kerbside,526631,184391
CD3,Camden 3 - Shaftesbury Avenue,Roadside,530059,181286
CD4,Camden - St Martins College (NOX 1),Urban background,530514,181666
CD5,Camden - St Martins College (NOX 2),Urban background,530514,181666
CR2,Croydon 2 - Purley Way,Roadside,531126,164300
CR3,Croydon - Thornton Heath,Suburban,532339,168935
CR4,Croydon 4 - George Street,Roadside,532585,165636
CR5,Croydon 5 - Norbury,Kerbside,530628,169707
CR6,Croydon 6 - Euston Road,Suburban,531364,166097
CT1,City of London 1 - Senator House,Urban background,532237,180892
CT3,City of London - Sir John Cass School,Urban background,533482,181187
CT6,City of London - Walbrook Wharf,Roadside,532530,180790
CY1,Crystal Palace 1 - C Palace Parade,Roadside,533903,171290
EA1,Ealing 1 - Ealing Town Hall,Urban background,517543,180738
EA2,Ealing 2 - Acton Town Hall,Roadside,520306,180055
EA6,Ealing - Hanger Lane Gyratory,Roadside,518539,182708
EA7,Ealing 7 - Southall,Urban background,511679,180072
EL1,Elmbridge - Bell Farm Hersham,Urban background,511403,164912
EL2,Elmbridge - Esher High Street,Roadside,514024,164789
EN1,Enfield 1 - Bushhill Park,Suburban,533870,195839
EN3,Enfield - Salisbury School,Urban background,535440,194997
EN4,Enfield 4 - Derby Road Upper Edmonton,Roadside,535028,192450
EN5,Enfield - Bowes Primary School,Roadside,529896,192224
GB6,Greenwich Bexley 6 - A2 Falconwood,Roadside,545000,175098
GN0,Greenwich - A206 Burrage Grove,Roadside,544086,178882
GN2,Greenwich 12 - Millennium Village,Urban background,540171,178999
GN3,Greenwich 13 - Plumstead High Street,Roadside,545563,178526
GR4,Greenwich 4 - Eltham,Suburban,543981,174655
GR5,Greenwich 5 - Trafalgar Road,Roadside,538962,177954
GR7,Greenwich 7 - Blackheath,Roadside,538144,176711
GR8,Greenwich 8 - Woolwich,Roadside,540202,178367
GR9,Greenwich 9 - Westhorne Ave,Roadside,541882,175017
HF1,H and F 1 - Hammersmith Broadway,Roadside,523390,178614
HF2,H'smith and Fulham 2 - Brook Green,Urban background,523630,179018
HG1,Haringey 1 - Town Hall,Roadside,533894,190707
HG2,Haringey 2 - Priory Park,Suburban,529896,189126
HI0,Hillingdon - AURN,Suburban,506943,178607
HI1,Hillingdon 1 - South Ruislip,Roadside,510837,184917
HI2,Hillingdon 2 - Hillingdon Hospital,Roadside,506992,181925
HI3,Hillingdon 3 - Oxford Avenue,Roadside,509553,176975
